amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
52.752,52.752,4.4,nonfiction,263.76,Harmony,158.256,10.99,5746,Random House LLC,124,big five,24
28.752,28.752,4.22,genre fiction,143.76,Dell,86.256,5.99,5747,Random House LLC,293,big five,24
61.152,61.152,3.41,fiction,305.76,Henry Holt and Co.,183.456,12.74,5751,Macmillan,12,big five,24
40.944,40.944,4.69,genre fiction,204.72,Roc,122.832,8.53,5752,Penguin Group (USA) LLC,215,big five,24
47.952,47.952,4.13,comics,239.76,(Small or Medium Publisher),143.856,9.99,5757,DC Comics,15,small/medium,24
28.416,28.416,4.84,children,142.08,Delacorte Books for Young Readers,85.248,5.92,5759,Random House LLC,328,big five,24
61.152,61.152,4.46,nonfiction,305.76,HarperOne,183.456,12.74,5764,HarperCollins Publishers,179,big five,24
38.352,38.352,4.6,genre fiction,191.76,Ballantine Books,115.056,7.99,5765,Random House LLC,996,big five,24
51.12,51.12,5,nonfiction,255.6,Dutton Adult,153.36,10.65,5768,Penguin Group (USA) LLC,1,big five,24
32.784,32.784,3.3,genre fiction,163.92,Ace,98.352,6.83,5771,Penguin Group (USA) LLC,1155,big five,24
47.952,47.952,3.75,genre fiction,239.76,Ballantine Books,143.856,9.99,5775,Random House LLC,501,big five,24
105.552,105.552,4.41,genre fiction,527.76,Bantam,316.656,21.99,5781,Random House LLC,3492,big five,24
56.832,56.832,3.92,nonfiction,284.16,Bantam,170.496,11.84,5782,Random House LLC,434,big five,24
23.952,23.952,3.87,genre fiction,119.76,Bantam,71.856,4.99,5783,Random House LLC,438,big five,24
46.896,46.896,4.36,genre fiction,234.48,William Morrow,140.688,9.77,5787,HarperCollins Publishers,116,big five,24
45.888,45.888,4.28,nonfiction,229.44,Penguin Books,137.664,9.56,5788,Penguin Group (USA) LLC,549,big five,24
51.12,51.12,4.42,genre fiction,255.6,Blue Rider Press,153.36,10.65,5808,Penguin Group (USA) LLC,14,big five,24
52.752,52.752,4.56,nonfiction,263.76,The Penguin Press,158.256,10.99,5810,Penguin Group (USA) LLC,264,big five,24
27.312,27.312,4.5,genre fiction,136.56,HarperCollins e-books,81.936,5.69,5811,HarperCollins Publishers,268,big five,24
38.352,38.352,4.14,genre fiction,191.76,Thomas Dunne Books,115.056,7.99,5816,Macmillan,585,big five,24
4.752,4.752,4.24,genre fiction,23.76,Avon Impulse,14.256,0.99,5818,HarperCollins Publishers,29,big five,24
14.352,14.352,3.25,genre fiction,71.76,Tor Books,43.056,2.99,5819,Macmillan,140,big five,24
57.072,57.072,4.4,nonfiction,285.36,Simon & Schuster,171.216,11.89,5820,Simon and Schuster Digital Sales Inc,283,big five,24
27.312,27.312,4.44,genre fiction,136.56,Avon,81.936,5.69,5825,HarperCollins Publishers,609,big five,24
38.352,38.352,4.06,genre fiction,191.76,Plume,115.056,7.99,5836,Penguin Group (USA) LLC,276,big five,24
28.752,28.752,4.39,genre fiction,143.76,Dell,86.256,5.99,5836,Random House LLC,551,big five,24
32.784,32.784,4.45,genre fiction,163.92,Holt Paperbacks,98.352,6.83,5852,Macmillan,113,big five,24
28.752,28.752,4.37,genre fiction,143.76,Tor Books,86.256,5.99,5854,Macmillan,362,big five,24
36.912,36.912,4.63,children,184.56,Puffin,110.736,7.69,5861,Penguin Group (USA) LLC,183,big five,24
25.824,25.824,4.65,children,129.12,Puffin,77.472,5.38,5862,Penguin Group (USA) LLC,621,big five,24
32.784,32.784,4.41,genre fiction,163.92,Holt Paperbacks,98.352,6.83,5877,Macmillan,124,big five,24
55.056,55.056,3.66,genre fiction,275.28,William Morrow,165.168,11.47,5883,HarperCollins Publishers,9,big five,24
52.896,52.896,4.29,fiction,264.48,Scribner,158.688,11.02,5884,Simon and Schuster Digital Sales Inc,457,big five,24
42.672,42.672,0,children,213.36,Aladdin,128.016,8.89,5888,Simon and Schuster Digital Sales Inc,0,big five,24
52.752,52.752,3.94,fiction,263.76,Atria/Emily Bestler Books,158.256,10.99,5890,Simon and Schuster Digital Sales Inc,1005,big five,24
14.352,14.352,3.66,genre fiction,71.76,"Little, Brown and Company",43.056,2.99,5892,Hachette Book Group,180,big five,24
9.552,9.552,4,genre fiction,47.76,William Morrow,28.656,1.99,5897,HarperCollins Publishers,64,big five,24
57.552,57.552,0,genre fiction,287.76,Ace,172.656,11.99,5901,Penguin Group (USA) LLC,0,big five,24
33.552,33.552,4,genre fiction,167.76,Berkley,100.656,6.99,5905,Penguin Group (USA) LLC,282,big five,24
46.896,46.896,4.53,children,234.48,Dial,140.688,9.77,5922,Penguin Group (USA) LLC,78,big five,24
33.552,33.552,2.7,genre fiction,167.76,"Little, Brown and Company",100.656,6.99,5928,Hachette Book Group,434,big five,24
32.784,32.784,4.09,genre fiction,163.92,HarperCollins e-books,98.352,6.83,5932,HarperCollins Publishers,51,big five,24
32.784,32.784,4.16,genre fiction,163.92,Holt Paperbacks,98.352,6.83,5935,Macmillan,233,big five,24
38.352,38.352,4.42,genre fiction,191.76,St. Martin's Press,115.056,7.99,5937,Macmillan,587,big five,24
22.752,22.752,4.09,genre fiction,113.76,Avon,68.256,4.74,5940,HarperCollins Publishers,85,big five,24
46.032,46.032,4.67,nonfiction,230.16,HarperOne,138.096,9.59,5944,HarperCollins Publishers,68,big five,24
28.704,28.704,4.84,children,143.52,HarperCollins,86.112,5.98,5945,HarperCollins Publishers,281,big five,24
14.352,14.352,4.57,children,71.76,HarperCollins,43.056,2.99,5949,HarperCollins Publishers,21,big five,24
36.754,36.754,4.25,genre fiction,183.77,Berkley,110.262,7.99,5951,Penguin Group (USA) LLC,125,big five,23
48.99,48.99,4.67,fiction,244.95,Putnam Adult,146.97,10.65,5953,Penguin Group (USA) LLC,28,big five,23
18.354,18.354,4.62,nonfiction,91.77,HarperOne,55.062,3.99,5964,HarperCollins Publishers,402,big five,23
27.554,27.554,4.58,nonfiction,137.77,Pantheon,82.662,5.99,5978,Random House LLC,349,big five,23
35.374,35.374,4.71,children,176.87,Puffin,106.122,7.69,5986,Penguin Group (USA) LLC,167,big five,23
40.664,40.664,4.41,genre fiction,203.32,Scribner,121.992,8.84,5989,Simon and Schuster Digital Sales Inc,531,big five,23
41.814,41.814,3.81,fiction,209.07,Vintage,125.442,9.09,5992,Random House LLC,1187,big five,23
50.554,50.554,4.69,nonfiction,252.77,Vintage,151.662,10.99,5999,Random House LLC,448,big five,23
59.754,59.754,4.02,nonfiction,298.77,Grand Central Life & Style,179.262,12.99,6014,Hachette Book Group,748,big five,23
50.186,50.186,4.39,genre fiction,250.93,Ballantine Books,150.558,10.91,6018,Random House LLC,241,big five,23
58.604,58.604,4.42,nonfiction,293.02,Times Books,175.812,12.74,6021,Macmillan,161,big five,23
27.554,27.554,3.88,genre fiction,137.77,Berkley,82.662,5.99,6022,Penguin Group (USA) LLC,17,big five,23
45.954,45.954,4.16,genre fiction,229.77,Orbit,137.862,9.99,6024,Hachette Book Group,362,big five,23
27.554,27.554,4.48,genre fiction,137.77,Dutton Adult,82.662,5.99,6029,Penguin Group (USA) LLC,206,big five,23
59.754,59.754,4.34,nonfiction,298.77,Twelve,179.262,12.99,6042,Hachette Book Group,379,big five,23
36.754,36.754,4.55,genre fiction,183.77,Berkley,110.262,7.99,6046,Penguin Group (USA) LLC,220,big five,23
43.332,43.332,4.57,nonfiction,216.66,HarperCollins e-books,129.996,9.42,6049,HarperCollins Publishers,312,big five,23
47.012,47.012,4.27,nonfiction,235.06,Free Press,141.036,10.22,6052,Simon and Schuster Digital Sales Inc,519,big five,23
67.804,67.804,4.44,nonfiction,339.02,The Penguin Press,203.412,14.74,6059,Penguin Group (USA) LLC,563,big five,23
27.554,27.554,4.18,genre fiction,137.77,Vintage,82.662,5.99,6060,Random House LLC,343,big five,23
44.436,44.436,4.77,nonfiction,222.18,Spiegel & Grau,133.308,9.66,6074,Random House LLC,715,big five,23
54.694,54.694,0,genre fiction,273.47,Gallery Books,164.082,11.89,6079,Simon and Schuster Digital Sales Inc,0,big five,23
27.554,27.554,4.54,nonfiction,137.77,Zondervan,82.662,5.99,6085,HarperCollins Publishing,177,big five,23
56.534,56.534,3.86,nonfiction,282.67,Harper,169.602,12.29,6093,HarperCollins Publishers,51,big five,23
22.448,22.448,4.41,children,112.24,Random House Books for Young Readers,67.344,4.88,6100,Random House LLC,826,big five,23
54.464,54.464,4.43,nonfiction,272.32,Random House,163.392,11.84,6106,Random House LLC,679,big five,23
35.374,35.374,4.53,genre fiction,176.87,Scribner,106.122,7.69,6108,Simon and Schuster Digital Sales Inc,1047,big five,23
48.99,48.99,3.85,nonfiction,244.95,Picador,146.97,10.65,6113,Macmillan,34,big five,23
27.554,27.554,4.31,genre fiction,137.77,Dell,82.662,5.99,6115,Random House LLC,475,big five,23
45.954,45.954,4.64,nonfiction,229.77,Twelve,137.862,9.99,6119,Hachette Book Group,320,big five,23
49.082,49.082,4.52,genre fiction,245.41,HarperCollins e-books,147.246,10.67,6126,HarperCollins Publishers,1885,big five,23
45.954,45.954,4.57,genre fiction,229.77,Vintage,137.862,9.99,6130,Random House LLC,122,big five,23
4.554,4.554,3.92,genre fiction,22.77,HarperCollins e-books,13.662,0.99,6132,HarperCollins Publishers,26,big five,23
23.552,23.552,4.77,children,117.76,Zonderkidz,70.656,5.12,6145,HarperCollins Publishing,87,big five,23
36.754,36.754,3.43,genre fiction,183.77,Berkley,110.262,7.99,6152,Penguin Group (USA) LLC,1543,big five,23
36.754,36.754,4.69,children,183.77,"Little, Brown Books for Young Readers",110.262,7.99,6160,Hachette Book Group,320,big five,23
45.954,45.954,4.25,fiction,229.77,Vintage,137.862,9.99,6163,Random House LLC,436,big five,23
29.302,29.302,4.66,nonfiction,146.51,Simon & Schuster,87.906,6.37,6171,Simon and Schuster Digital Sales Inc,365,big five,23
45.954,45.954,4.21,fiction,229.77,Scribner,137.862,9.99,6190,Simon and Schuster Digital Sales Inc,720,big five,23
30.544,30.544,4.28,genre fiction,152.72,HarperCollins e-books,91.632,6.64,6191,HarperCollins Publishers,50,big five,23
32.154,32.154,3.45,genre fiction,160.77,Grand Central Publishing,96.462,6.99,6202,Hachette Book Group,281,big five,23
44.942,44.942,4.52,children,224.71,Dutton Children's,134.826,9.77,6209,Penguin Group (USA) LLC,284,big five,23
27.554,27.554,3.24,genre fiction,137.77,Putnam Adult,82.662,5.99,6214,Penguin Group (USA) LLC,325,big five,23
50.554,50.554,0,genre fiction,252.77,Putnam Adult,151.662,10.99,6216,Penguin Group (USA) LLC,0,big five,23
31.418,31.418,3.55,genre fiction,157.09,Holt Paperbacks,94.254,6.83,6225,Macmillan,244,big five,23
27.554,27.554,4.66,nonfiction,137.77,Delta,82.662,5.99,6231,Random House LLC,744,big five,23
17.434,17.434,4.77,nonfiction,87.17,NAL,52.302,3.79,6238,Penguin Group (USA) LLC,227,big five,23
27.508,27.508,4.84,children,137.54,HarperCollins,82.524,5.98,6241,HarperCollins Publishers,258,big five,23
36.754,36.754,4.57,nonfiction,183.77,Plume,110.262,7.99,6248,Penguin Group (USA) LLC,471,big five,23
21.206,21.206,4.56,children,106.03,Puffin,63.618,4.61,6257,Penguin Group (USA) LLC,368,big five,23
31.418,31.418,4.15,genre fiction,157.09,Holt Paperbacks,94.254,6.83,6258,Macmillan,112,big five,23
27.554,27.554,0,genre fiction,137.77,Ballantine Books,82.662,5.99,6284,Random House LLC,0,big five,23
24.748,24.748,4.63,children,123.74,HarperCollins,74.244,5.38,6288,HarperCollins Publishers,4698,big five,23
35.374,35.374,4.77,children,176.87,Puffin,106.122,7.69,6296,Penguin Group (USA) LLC,196,big five,23
35.374,35.374,4.43,genre fiction,176.87,Ace,106.122,7.69,6297,Penguin Group (USA) LLC,1752,big five,23
36.754,36.754,4.45,nonfiction,183.77,St. Martin's Griffin,110.262,7.99,6303,Macmillan,300,big five,23
34.914,34.914,0,nonfiction,174.57,Pocket Books,104.742,7.59,6307,Simon and Schuster Digital Sales Inc,0,big five,23
35.374,35.374,4.77,children,176.87,Puffin,106.122,7.69,6313,Penguin Group (USA) LLC,236,big five,23
17.434,17.434,4.47,nonfiction,87.17,HarperOne,52.302,3.79,6321,HarperCollins Publishers,189,big five,23
36.754,36.754,4.71,children,183.77,Random House Books for Young Readers,110.262,7.99,6330,Random House LLC,100,big five,23
32.154,32.154,3.76,fiction,160.77,"Little, Brown and Company",96.462,6.99,6334,Hachette Book Group,403,big five,23
36.754,36.754,2.51,genre fiction,183.77,Berkley,110.262,7.99,6358,Penguin Group (USA) LLC,1130,big five,23
38.18,38.18,4.05,nonfiction,190.9,Harmony,114.54,8.3,6359,Random House LLC,452,big five,23
41.354,41.354,3.59,genre fiction,206.77,Minotaur Books,124.062,8.99,6365,Macmillan,391,big five,23
68.954,68.954,4.51,nonfiction,344.77,Thomas Nelson,206.862,14.99,6383,HarperCollins Christian Publishing,257,big five,23
59.754,59.754,4.24,nonfiction,298.77,Random House,179.262,12.99,6384,Random House LLC,148,big five,23
52.026,52.026,4.51,nonfiction,260.13,Touchstone,156.078,11.31,6388,Simon and Schuster Digital Sales Inc,474,big five,23
4.554,4.554,4.57,genre fiction,22.77,Witness Impulse,13.662,0.99,6392,HarperCollins Publishers,14,big five,23
33.836,33.836,4.58,children,169.18,Puffin,101.508,7.69,6402,Penguin Group (USA) LLC,193,big five,22
48.576,48.576,0,genre fiction,242.88,St. Martin's Press,145.728,11.04,6419,Macmillan,0,big five,22
43.956,43.956,3.82,nonfiction,219.78,Thomas Nelson,131.868,9.99,6425,HarperCollins Christian Publishing,736,big five,22
43.208,43.208,4.27,nonfiction,216.04,Harper Perennial,129.624,9.82,6428,HarperCollins Publishers,404,big five,22
21.956,21.956,4.5,genre fiction,109.78,William Morrow Paperbacks,65.868,4.99,6432,HarperCollins Publishers,362,big five,22
25.036,25.036,4.26,genre fiction,125.18,HarperCollins e-books,75.108,5.69,6435,HarperCollins Publishers,118,big five,22
48.356,48.356,0,genre fiction,241.78,Roc,145.068,10.99,6437,Penguin Group (USA) LLC,0,big five,22
65.956,65.956,4.44,nonfiction,329.78,The Penguin Press,197.868,14.99,6443,Penguin Group (USA) LLC,302,big five,22
33.396,33.396,4.54,nonfiction,166.98,Scribner,100.188,7.59,6450,Simon and Schuster Digital Sales Inc,226,big five,22
15.004,15.004,4.66,children,75.02,RH/Disney,45.012,3.41,6460,Random House LLC,6,big five,22
42.592,42.592,4.8,nonfiction,212.96,Howard Books,127.776,9.68,6461,Simon and Schuster Digital Sales Inc,1753,big five,22
16.676,16.676,4.77,nonfiction,83.38,Zondervan,50.028,3.79,6462,HarperCollins Publishing,822,big five,22
48.356,48.356,2.93,genre fiction,241.78,Putnam Adult,145.068,10.99,6470,Penguin Group (USA) LLC,341,big five,22
46.86,46.86,4.34,genre fiction,234.3,Sarah Crichton Books,140.58,10.65,6471,Macmillan,50,big five,22
36.696,36.696,3.78,genre fiction,183.48,St. Martin's Paperbacks,110.088,8.34,6473,Macmillan,41,big five,22
26.048,26.048,4.58,nonfiction,130.24,HarperCollins,78.144,5.92,6477,HarperCollins Publishers,1009,big five,22
4.356,4.356,4.26,genre fiction,21.78,Avon Impulse,13.068,0.99,6482,HarperCollins Publishers,149,big five,22
48.576,48.576,4.82,nonfiction,242.88,Scribner,145.728,11.04,6493,Simon and Schuster Digital Sales Inc,563,big five,22
26.356,26.356,4.39,nonfiction,131.78,Anchor,79.068,5.99,6498,Random House LLC,689,big five,22
8.756,8.756,3.8,genre fiction,43.78,Scribner,26.268,1.99,6505,Simon and Schuster Digital Sales Inc,63,big five,22
45.672,45.672,4.36,genre fiction,228.36,Touchstone,137.016,10.38,6509,Simon and Schuster Digital Sales Inc,377,big five,22
26.356,26.356,4.19,genre fiction,131.78,Spectra,79.068,5.99,6512,Random House LLC,343,big five,22
43.956,43.956,4.48,nonfiction,219.78,Grand Central Life & Style,131.868,9.99,6518,Hachette Book Group,828,big five,22
43.956,43.956,4.41,nonfiction,219.78,Penguin Books,131.868,9.99,6521,Penguin Group (USA) LLC,653,big five,22
40.392,40.392,3.9,nonfiction,201.96,HarperCollins e-books,121.176,9.18,6522,HarperCollins Publishers,1701,big five,22
17.556,17.556,4.85,nonfiction,87.78,Random House Books for Young Readers,52.668,3.99,6524,Random House LLC,954,big five,22
19.756,19.756,4.56,genre fiction,98.78,Avon,59.268,4.49,6528,HarperCollins Publishers,304,big five,22
48.356,48.356,4.77,nonfiction,241.78,Perigee,145.068,10.99,6529,Penguin Group (USA) LLC,133,big five,22
50.468,50.468,4.55,fiction,252.34,Vintage Espanol,151.404,11.47,6531,Random House LLC,9,big five,22
52.756,52.756,4.46,nonfiction,263.78,HarperOne,158.268,11.99,6545,HarperCollins Publishers,205,big five,22
30.756,30.756,3.92,genre fiction,153.78,Vintage,92.268,6.99,6549,Random House LLC,857,big five,22
43.956,43.956,4.58,nonfiction,219.78,Hyperion,131.868,9.99,6551,Hachette Book Group,1776,big five,22
52.756,52.756,4.61,nonfiction,263.78,Doubleday,158.268,11.99,6553,Random House LLC,26,big five,22
35.156,35.156,4.01,genre fiction,175.78,Penguin Books,105.468,7.99,6564,Penguin Group (USA) LLC,587,big five,22
37.4,37.4,4.03,genre fiction,187,Puffin,112.2,8.5,6573,Penguin Group (USA) LLC,272,big five,22
4.356,4.356,4.13,genre fiction,21.78,Ballantine Books,13.068,0.99,6574,Random House LLC,36,big five,22
35.156,35.156,3.97,genre fiction,175.78,Penguin Books,105.468,7.99,6587,Penguin Group (USA) LLC,108,big five,22
22.66,22.66,4.57,children,113.3,Puffin,67.98,5.15,6588,Penguin Group (USA) LLC,393,big five,22
43.956,43.956,4.5,genre fiction,219.78,Thomas Nelson,131.868,9.99,6591,HarperCollins Christian Publishing,434,big five,22
26.312,26.312,4.38,genre fiction,131.56,Crimeline,78.936,5.98,6605,Random House LLC,132,big five,22
18.568,18.568,4.7,nonfiction,92.84,Grosset & Dunlap,55.704,4.22,6606,Penguin Group (USA) LLC,90,big five,22
13.156,13.156,4.1,genre fiction,65.78,Ballantine Books,39.468,2.99,6616,Random House LLC,1617,big five,22
41.184,41.184,4.3,nonfiction,205.92,Hyperion,123.552,9.36,6629,Hachette Book Group,406,big five,22
39.556,39.556,3.87,nonfiction,197.78,Bantam,118.668,8.99,6649,Random House LLC,343,big five,22
35.156,35.156,4.23,genre fiction,175.78,Scribner,105.468,7.99,6651,Simon and Schuster Digital Sales Inc,874,big five,22
43.956,43.956,4.18,genre fiction,219.78,Orbit,131.868,9.99,6653,Hachette Book Group,204,big five,22
30.756,30.756,4.36,nonfiction,153.78,Knopf Books for Young Readers,92.268,6.99,6661,Random House LLC,390,big five,22
8.756,8.756,0,genre fiction,43.78,William Morrow Impulse,26.268,1.99,6662,HarperCollins Publishers,0,big five,22
48.356,48.356,4.41,nonfiction,241.78,Avery,145.068,10.99,6663,Penguin Group (USA) LLC,43,big five,22
26.356,26.356,4.32,genre fiction,131.78,Spectra,79.068,5.99,6680,Random House LLC,948,big five,22
4.356,4.356,4.66,comics,21.78,(Small or Medium Publisher),13.068,0.99,6691,DC Comics,6,small/medium,22
30.756,30.756,4.1,genre fiction,153.78,Grand Central Publishing,92.268,6.99,6707,Hachette Book Group,742,big five,22
26.312,26.312,4.69,children,131.56,Aladdin,78.936,5.98,6708,Simon and Schuster Digital Sales Inc,107,big five,22
8.756,8.756,3.86,genre fiction,43.78,St. Martin's Paperbacks,26.268,1.99,6713,Macmillan,30,big five,22
48.004,48.004,3.83,genre fiction,240.02,Putnam Adult,144.012,10.91,6716,Penguin Group (USA) LLC,218,big five,22
26.356,26.356,4.6,genre fiction,131.78,Berkley,79.068,5.99,6717,Penguin Group (USA) LLC,140,big five,22
39.116,39.116,4.39,nonfiction,195.58,Metropolitan Books,117.348,8.89,6719,Macmillan,476,big five,22
26.048,26.048,4.17,nonfiction,130.24,Random House Trade Paperbacks,78.144,5.92,6730,Random House LLC,509,big five,22
33.484,33.484,4.72,genre fiction,167.42,Speak,100.452,7.61,6732,Penguin Group (USA) LLC,550,big five,22
35.156,35.156,4.44,nonfiction,175.78,"Farrar, Straus and Giroux",105.468,7.99,6737,Macmillan,510,big five,22
21.956,21.956,4,genre fiction,109.78,HarperCollins e-books,65.868,4.99,6744,HarperCollins Publishers,416,big five,22
26.356,26.356,4.22,genre fiction,131.78,Signet,79.068,5.99,6752,Penguin Group (USA) LLC,656,big five,22
22.572,22.572,3.8,children,112.86,HarperFestival,67.716,5.13,6760,HarperCollins Publishers,26,big five,22
42.196,42.196,4.82,nonfiction,210.98,Howard Books,126.588,9.59,6773,Simon and Schuster Digital Sales Inc,891,big five,22
35.156,35.156,4.49,nonfiction,175.78,Penguin Books,105.468,7.99,6773,Penguin Group (USA) LLC,253,big five,22
13.156,13.156,4.3,genre fiction,65.78,Forge Books,39.468,2.99,6775,Macmillan,142,big five,22
42.988,42.988,4.34,nonfiction,214.94,Riverhead,128.964,9.77,6788,Penguin Group (USA) LLC,164,big five,22
35.156,35.156,4.66,nonfiction,175.78,Vintage,105.468,7.99,6789,Random House LLC,374,big five,22
61.556,61.556,4.8,nonfiction,307.78,Crown Archetype,184.668,13.99,6790,Random House LLC,131,big five,22
30.052,30.052,4.52,genre fiction,150.26,St. Martin's Press,90.156,6.83,6798,Macmillan,514,big five,22
18.744,18.744,4.48,genre fiction,93.72,InterMix,56.232,4.26,6802,Penguin Group (USA) LLC,41,big five,22
43.956,43.956,4.58,nonfiction,219.78,Anchor,131.868,9.99,6803,Random House LLC,678,big five,22
24.728,24.728,4.39,genre fiction,123.64,Harper,74.184,5.62,6807,HarperCollins Publishers,858,big five,22
26.356,26.356,2.2,genre fiction,131.78,Berkley,79.068,5.99,6810,Penguin Group (USA) LLC,680,big five,22
48.356,48.356,4.57,nonfiction,241.78,Knopf,145.068,10.99,6812,Random House LLC,35,big five,22
39.644,39.644,4.12,genre fiction,198.22,William Morrow Paperbacks,118.932,9.01,6816,HarperCollins Publishers,64,big five,22
35.156,35.156,4.41,genre fiction,175.78,Signet,105.468,7.99,6824,Penguin Group (USA) LLC,274,big five,22
30.052,30.052,4.36,genre fiction,150.26,Berkley,90.156,6.83,6828,Penguin Group (USA) LLC,520,big five,22
25.158,25.158,4.71,genre fiction,125.79,Berkley,75.474,5.99,6851,Penguin Group (USA) LLC,59,big five,21
32.466,32.466,4.2,genre fiction,162.33,Avon,97.398,7.73,6852,HarperCollins Publishers,220,big five,21
41.958,41.958,4.38,nonfiction,209.79,NAL,125.874,9.99,6860,Penguin Group (USA) LLC,326,big five,21
4.158,4.158,3.93,nonfiction,20.79,Harper,12.474,0.99,6887,HarperCollins Publishers,58,big five,21
23.058,23.058,3.89,nonfiction,115.29,Harper Perennial,69.174,5.49,6900,HarperCollins Publishers,122,big five,21
40.278,40.278,3.7,genre fiction,201.39,Knopf,120.834,9.59,6911,Random House LLC,10,big five,21
25.158,25.158,4.59,genre fiction,125.79,DAW,75.474,5.99,6923,Penguin Group (USA) LLC,42,big five,21
12.558,12.558,0,genre fiction,62.79,Orbit,37.674,2.99,6926,Hachette Book Group,0,big five,21
42.966,42.966,4.61,nonfiction,214.83,Harper Perennial,128.898,10.23,6927,HarperCollins Publishers,276,big five,21
45.234,45.234,4.68,nonfiction,226.17,Bantam,135.702,10.77,6931,Random House LLC,702,big five,21
28.686,28.686,4.15,genre fiction,143.43,Holt Paperbacks,86.058,6.83,6937,Macmillan,166,big five,21
25.158,25.158,4.04,genre fiction,125.79,Ace,75.474,5.99,6951,Penguin Group (USA) LLC,170,big five,21
32.382,32.382,4.67,nonfiction,161.91,Atria Books,97.146,7.71,6952,Simon and Schuster Digital Sales Inc,643,big five,21
44.562,44.562,4.26,nonfiction,222.81,Harmony,133.686,10.61,6956,Random House LLC,760,big five,21
33.558,33.558,3,genre fiction,167.79,Berkley,100.674,7.99,6961,Penguin Group (USA) LLC,162,big five,21
25.158,25.158,4.07,genre fiction,125.79,Signet,75.474,5.99,6970,Penguin Group (USA) LLC,204,big five,21
8.358,8.358,0,genre fiction,41.79,Thomas Nelson,25.074,1.99,6976,HarperCollins Christian Publishing,0,big five,21
29.358,29.358,4.66,nonfiction,146.79,Crown Business,88.074,6.99,7000,Random House LLC,252,big five,21
44.73,44.73,4.59,nonfiction,223.65,Simon & Schuster,134.19,10.65,7001,Simon and Schuster Digital Sales Inc,40,big five,21
30.534,30.534,4.63,genre fiction,152.67,HarperTeen,91.602,7.27,7004,HarperCollins Publishers,191,big five,21
51.618,51.618,4.67,nonfiction,258.09,Thomas Nelson,154.854,12.29,7006,HarperCollins Christian Publishing,1136,big five,21
25.158,25.158,4.42,genre fiction,125.79,Berkley,75.474,5.99,7009,Penguin Group (USA) LLC,33,big five,21
44.73,44.73,4.75,nonfiction,223.65,Thomas Dunne Books,134.19,10.65,7019,Macmillan,12,big five,21
37.758,37.758,4.85,children,188.79,HarperCollins,113.274,8.99,7024,HarperCollins Publishers,95,big five,21
88.158,88.158,4.61,fiction,440.79,Jove,264.474,20.99,7045,Penguin Group (USA) LLC,118,big five,21
28.686,28.686,4.83,genre fiction,143.43,St. Martin's Press,86.058,6.83,7055,Macmillan,431,big five,21
28.686,28.686,4.5,genre fiction,143.43,Holt Paperbacks,86.058,6.83,7056,Macmillan,104,big five,21
41.958,41.958,4.39,nonfiction,209.79,Plume,125.874,9.99,7060,Penguin Group (USA) LLC,273,big five,21
28.686,28.686,4.33,genre fiction,143.43,Holt Paperbacks,86.058,6.83,7062,Macmillan,305,big five,21
33.558,33.558,4.23,genre fiction,167.79,Scribner,100.674,7.99,7075,Simon and Schuster Digital Sales Inc,199,big five,21
12.558,12.558,4.34,genre fiction,62.79,Onyx,37.674,2.99,7083,Penguin Group (USA) LLC,110,big five,21
49.728,49.728,4.4,nonfiction,248.64,Random House,149.184,11.84,7089,Random House LLC,843,big five,21
43.89,43.89,4.61,children,219.45,Random House Books for Young Readers,131.67,10.45,7090,Random House LLC,438,big five,21
41.958,41.958,4.66,nonfiction,209.79,"Little, Brown and Company",125.874,9.99,7095,Hachette Book Group,621,big five,21
25.116,25.116,4.43,children,125.58,HarperCollins,75.348,5.98,7116,HarperCollins Publishers,307,big five,21
23.898,23.898,4.2,fiction,119.49,William Morrow,71.694,5.69,7118,HarperCollins Publishers,150,big five,21
25.158,25.158,4.22,genre fiction,125.79,Ballantine Books,75.474,5.99,7120,Random House LLC,27,big five,21
41.958,41.958,4.4,nonfiction,209.79,Hyperion,125.874,9.99,7125,Hachette Book Group,449,big five,21
53.508,53.508,3.95,nonfiction,267.54,St. Martin's Press,160.524,12.74,7127,Macmillan,23,big five,21
28.686,28.686,3.55,nonfiction,143.43,Pocket Books,86.058,6.83,7131,Simon and Schuster Digital Sales Inc,204,big five,21
25.116,25.116,4.07,genre fiction,125.58,Crimeline,75.348,5.98,7143,Random House LLC,294,big five,21
37.758,37.758,3.6,nonfiction,188.79,Crown Archetype,113.274,8.99,7156,Random House LLC,621,big five,21
33.558,33.558,4.44,nonfiction,167.79,"Farrar, Straus and Giroux",100.674,7.99,7171,Macmillan,161,big five,21
19.908,19.908,4.44,genre fiction,99.54,HarperCollins e-books,59.724,4.74,7174,HarperCollins Publishers,249,big five,21
41.958,41.958,0,genre fiction,209.79,NAL,125.874,9.99,7184,Penguin Group (USA) LLC,0,big five,21
42.966,42.966,4.51,nonfiction,214.83,HarperOne,128.898,10.23,7191,HarperCollins Publishers,180,big five,21
25.158,25.158,4.72,children,125.79,Delacorte Books for Young Readers,75.474,5.99,7200,Random House LLC,200,big five,21
25.158,25.158,4.48,genre fiction,125.79,Ballantine Books,75.474,5.99,7201,Random House LLC,146,big five,21
33.558,33.558,3.51,nonfiction,167.79,Random House,100.674,7.99,7203,Random House LLC,295,big five,21
